recovery_id	semantic_axis	semantic_property	legacy_repository	legacy_commits_inspected	legacy_paths_symbols	legacy_evidence_type	legacy_execution_status	legacy_consumers	legacy_lifecycle	legacy_failure_semantics	legacy_owner	current_yai_sha	current_owner	current_paths	current_status	current_consumers	semantic_delta	disposition	refounded_owner	proof	remaining_gap	next_recheck_family	last_legacy_reinspection	last_current_verification_sha	confidence	notes
FR-008	review	Human Operation review	yai-dev	8daca5604;a6b67ee39;681252f99 + Wave7 epochs	mediation/review/authority/runtime paths	source+tests+history	executable_partial	fixture/runtime	pending/defer/resolve	fixture and string authority leak	legacy review owner	55db3a7c+H10-prepublication	Transition/admission/review CLI	transition.rs;admission.rs;store/lmdb.rs;cmd/yai/src/review.rs	refounded_proven	Case runtime/filesystem effect	ReviewRequest/final Decision re-derived; ReviewAction evidence and roles resolved canonically	refounded_proven	Case-native review	H10 role/request/final-decision forgery + wrong/stale reviewer + R1-R6	expiry/revoke invalidation	Wave11	2026-08-30	pre-publication	high	policy-authority-qualified; approval remains authority evidence not consequence
FR-009	runtime	Agentless Case runtime	yai-dev	Wave6 archaeology	multiple loop/supervisor epochs	source+tests	executable_partial	legacy runtime	bounded loops/restart	ownership overreach	Agent/scheduler/orchestrator forms	a5a4015	Case runner	cmd/yai/src/case_runtime.rs	refounded_proven	current Case CLI	agentless ownership stronger	refounded_proven	disposable Case runner	26-turn + 128 iteration	multi-Case scheduling	Wave13	2026-08-29	7ce67afee34a3dbe879c2e5bee945602492be70c	high	single host
FR-010	lifecycle	Cancellation/expiry/closure	yai-dev	ca8e0ffb1;82675b14e;6bf6807f2;c172c3bf5;c513782ef	governance/runtime/workspace/case/grants/capabilities/mediation/evidence cross-family paths	source+tests+history	executable_partial	legacy edge runtime;workspace lifecycle;volatile grant registry	refresh/stale/expired/revoked;workspace suspend/destroy;grant terminal states	strings/scattered time;workspace deletion;volatile registry;no durable Case close	multiple planes/managers	Wave11-prepublication	Transition+LMDB+governance/effect	transition.rs;governance.rs;case_policy.rs;effect.rs;store/lmdb.rs;case_runtime.rs	refounded_proven	Case runtime/review/filesystem carrier	typed temporal validity, terminal review/Grant invalidation, durable cancellation and safe terminal closure	refounded_proven	existing semantic owners	Wave11 product causal run + 103 Rust tests + replay/high-water/PREPARE-cut proofs	authenticated admin/archive/reopen/distributed revoke	Wave12+	2026-08-30	pre-publication	high	workspace destruction explicitly rejected; local one-shot scope
FR-011	governance	Policy source-origin provenance	yai-dev	45c36bd0c;575f76fcd;1ebfb8d84	governance/ingestion/sources;parsed;normalized	source+fixtures+validators	executable_partial	authoring/audit	source manifest→path refs	origin not digest-bound; local path provenance	source manifests	a92673847808b46b6be82e8a96e90d45b1c12888	governance compiler	governance.rs;policy.rs	refounded_proven	operator/audit/future binding	v2 origin digest-bound and path-free	refounded_proven	PolicySourceArtifact/PolicyArtifact	origin tamper/provenance tests	authentication/privacy	Wave12/data_longevity	2026-08-29	a92673847808b46b6be82e8a96e90d45b1c12888	high	declared provenance only
FR-012	governance	Policy lineage/version identity	yai-dev	45c36bd0c;885ddac44;575f76fcd	ingestion/review supersedes refs;registry	source+fixtures	characterization_only	manual publication	mutable supersession	no owner-scoped uniqueness	mutable review/registry	Wave12-prepublication	governance+LMDB	governance.rs;store/lmdb.rs	refounded_proven	publication/binding/admission	legacy lacked mechanical isolation lineage	refounded_proven	Tenant+policy_key PolicyLineage v2 + events	same-key/two-Tenant/revoke/bind tests	portable migration/retention	future	2026-08-30	pre-publication	high	legacy owner_ref lineage remains history-only; no SemVer authority
FR-013	governance	Shared governance catalog	yai-dev	885ddac44;c3f599890;575f76fcd;7b3c1b7bc	governance/registry;runtime session metadata	source+runtime tests	executable_partial	workspace/runtime attach	registry/list/attach	multiple mutable owners	registry/Case metadata	Wave12-prepublication	LMDB governance history	store/lmdb.rs	refounded_proven	Tenant-scoped operator and Cases	capacity/current lookup plus authenticated Tenant ownership/isolation	refounded_proven	artifacts/events+derived Tenant lineage index	256-source capacity+scale + Wave12 Tenant isolation tests	retention/distributed catalog	future	2026-08-30	pre-publication	high	no PolicyRegistry owner; Organization is projection-only
FR-014	evidence	Canonical authority evidence resolution	yai-dev	8daca5604;a6b67ee39;681252f99	include/supervisor/evidence.h;subjects/process/evidence.c;mediation;governance evidence	source+history	executable_partial	mediation/controlled action	unknown/unverified/verified/tampered labels	producer remained unverified; no promotion consumer; string refs could flow	Evidence subsystem	55db3a7c+H10-prepublication	admission resolver + LMDB snapshot	engine/yai-engine/src/admission.rs;store/lmdb.rs	refounded_proven	Decision/review/Grant write admission	caller claim no longer equals verification; exact ordered Transition lineage required	refounded_proven	admission evaluator	H10 caller provider/review/memory/graph/checkpoint negatives + 97 tests	additional evidence families only with consumers	future	2026-08-30	pre-publication	high	canonical-evidence-qualified; no Evidence registry
FR-015	authority	ExecutionGrant freshness and historical policy replay	yai-dev	a6b67ee39;c513782ef;final controlled_action/runtime carrier	controlled_action validation;volatile grant registry;carrier admission;decision/evidence refs	source+tests	executable_partial	runtime carrier	admit/execute/evidence/revoke/expire	ambient flags;volatile terminal state;no real current-time expiry consumer	controlled action envelope + grant registry	Wave11-prepublication	admission/effect/LMDB	engine/yai-engine/src/effect.rs;store/lmdb.rs;cmd/yai/src/controlled_effect.rs	refounded_proven	filesystem effect	v3 finite Grant; exact adjacency; Ready+Valid+time recheck; Expired/Revoked/Abandoned before PREPARE; P1 history preserved	refounded_proven for local one-shot carrier	ExecutionGrant v3 + Transition history	H10 forgeries + Wave11 expiry/revoke/cancel/PREPARE/reconcile/product tests	distributed leases/second carrier	future carrier waves	2026-08-30	pre-publication	high	PREPARE is non-retroactive physical truth cut
FR-016	governance	Policy temporal validity and revocation	yai-dev	ca8e0ffb1;82675b14e;6bf6807f2	local_runtime validity states;distribution freshness;bounded hierarchy	source+history	executable_partial	edge runtime/distribution	valid;refresh_required;stale;expired;revoked	caller/default windows;time(NULL);no rollback fence;topology overreach	edge/daemon planes	Wave11-prepublication	governance+case_policy+LMDB	governance.rs;case_policy.rs;store/lmdb.rs	refounded_proven	Decision/review/Grant/runtime	explicit immutable v4 validity, lifecycle v2 revoke, weakest Case posture, persistent authority-time floor	refounded_proven	existing governance and Case owners	window/adversarial/high-water/stale/refresh/revoke/product tests	authenticated organization ownership/distributed time	Wave12+	2026-08-30	pre-publication	high	freshness/readiness/validity remain distinct
FR-017	identity	Authenticated Principal projection	yai-dev	1238741f;1efadcfe;c88e0193;final-tree	yai-auth;yai-substrated;substrate_session;auth_context;local_dev_auth;runtime_session	source+tests+history	executable_partial	post-auth shell/runtime ingress	login→post-auth session→active Case	password/user store;environment fallback;self-verified local auth;caller OPERATOR/arming	auth/user-session/root runtime	Wave12-prepublication	security + LMDB	engine/yai-engine/src/security.rs;store/lmdb.rs;cmd/yai/src/security.rs	refounded_proven	admin writes;human review;scoped reads	kernel effective credential now projects a sealed invocation Principal and stable enrolled binding	refounded_proven within local POSIX trust model	one security owner	Wave12 OS binding/restart/spoof/sudo-posture/product tests	SSO/account/credential vault	future identity	2026-08-30	pre-publication	high	Principal distinct from Participant and role; no canonical UserSession
FR-018	security	Tenant security domain and isolation	yai-dev	1238741f;1efadcfe;history-search	root/user Case contamination;visibility/session ownership;no executable Tenant/Organization lifecycle	source+tests+history	executable_partial	legacy root/user runtime	scoped active Case	root hierarchy was not a Tenant boundary; no cross-catalog isolation	root/session topology	Wave12-prepublication	security+Transition+governance+LMDB	security.rs;transition.rs;governance.rs;case_policy.rs;store/lmdb.rs	refounded_proven	Case/policy/review/admin/read/filesystem attachment	immutable Case Tenant; Tenant+policy_key lineage; membership-gated writes/reads; cross-Tenant artifact/root rejection	refounded_proven	Tenant security owner + existing domain owners	Wave12 two-Tenant engine/product negatives; replay; root alias tests	multi-Case scheduler/shared-resource fencing/remote identity	Wave13/14	2026-08-30	pre-publication	high	Organization projection-only; legacy unscoped is read/replay-only
FR-019	runtime	Local multi-Case RuntimeInstance and recovery sweep	yai-dev	680955953;5af820f68;776af9f33;1d912484d	core/runtime/machine;runtime/control/queue_gate;runtime_session;case/registry;process_watch;supervisor/source runtime spool	source+tests+history	executable_partial	machine lifecycle;process observation;source intake	persisted process state and bounded source queue	no process birth identity, semantic completion acknowledgement, Case scheduler, worker pool, Tenant fairness or Case quota; Supervisor/root/edge overreach	runtime machine+Supervisor+source runtime	H13-prepublication	operational runtime owner+LMDB+existing Case loop	cmd/yai/src/runtime_instance.rs;cmd/yai/src/case_runtime.rs;engine/yai-engine/src/store/lmdb.rs	refounded_proven+H13-qualified	local Tenant-scoped Case execution	process-bound v2 owner; explicit WorkItem FSM; terminal checkpoint repair; restart-stable Tenant cursor; panic containment; bounded workers/backpressure; canonical-first crash sweep	refounded_proven+process-identity/crash-ack-qualified	RuntimeInstance operational owner	H13 terminal-ack/panic/restart-fairness/LMDB product proof + 118 engine/9 CLI/full cross-wave regression	canonical resource fencing/second carrier/distributed runtime	Wave14+	2026-08-31	pre-publication	high	operational durable state is explicitly not Case truth or authority; H13 stronger than inspected legacy completion/process identity
FR-020	authority	Tenant-bound shared resource authority and local carrier fencing	yai-dev	03b72f5d4;4e4fa4ebd;3e6c93e65;680955953	case/attachments/process_map;process_watch;runtime/carriers/host_mediated_carrier;runtime_control_bridge	source+tests+history	executable_partial	process observer;controlled action;host carrier	attach/observe/apply finite signal/result	no resource generation, current carrier fence, stale-writer rejection, fd-bound path confinement, reconstructible authority history, or uncertain-signal retry contract; Supervisor/arming/root topology overreach	process attachment+Supervisor carrier	0b48edee499f7b74b3a529f728af7912a24d0e5a	resource_control+effect+LMDB atomic boundary	engine/yai-engine/src/resource_control.rs;engine/yai-engine/src/effect.rs;engine/yai-engine/src/store/lmdb.rs;cmd/yai/src/controlled_effect.rs;cmd/yai/src/runtime_instance.rs	refounded_proven+adversarially_qualified	filesystem and process carriers; direct run; RuntimeInstance worker	v2 chained event rebuild; exact canonical-presence fence; monotonic epochs under 8-process contention; Linux openat2/dirfd confinement; atomic terminal release; process observation-only uncertainty; retryable resource busy	refounded_proven+local-cross-process/TOCTOU/rebuild-qualified	ResourceControlState/Event; existing Case/effect owners	H14 forgery/FSM/rebuild/symlink+rename/contention/reclaim/terminal/process uncertainty/product retry proof	arbitrary non-YAI writers; hard-link ownership; non-Linux equivalent; distributed fencing	future explicit consumer	2026-09-01	0b48edee499f7b74b3a529f728af7912a24d0e5a	high	H14 exceeds inspected legacy; no new owner or LMDB database; v1 history readable but not standalone-rebuildable
