current_command_path	aliases	handler	source_file	arguments_flags	environment_tty	auth_tenant_case	posture	canonical_owner	process_role	output_json_stdout_exit	visibility	target_visibility	proposed_operation_id
yai security bootstrap-local	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai security bootstrap-local --tenant <tenant:id> --organization <organization:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai identity whoami	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai identity whoami	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai tenant list/status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai tenant list|status [--tenant <tenant:id>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai tenant add-member	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai tenant add-member --tenant <tenant:id> --principal <principal:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai runtime serve/status/queue/stop	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai runtime serve|status|queue|stop [runtime limits]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai runtime submit	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai runtime submit --tenant <tenant:id> --case <case:id> --subject <participant:id> --attachment <id> --prompt <task> [--idempotency-key <key>] [Case budgets]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow define	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow define --tenant <tenant:id> --file <definition.json> [--json]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow list --tenant <tenant:id> [--json]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow show	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow show <definition-id> [--json]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow bind	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow bind --case <case:id> --definition <id> [--executor <slot>=<participant>]... [--resource <slot>=<attachment>]... [--json]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow status --case <case:id> [--json]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai workflow input	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai workflow input --case <case:id> --node <node-id> --value <value>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case create	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case create --case <case:id> --tenant <tenant:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case principal link	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case principal link --case <case:id> --principal <principal:id> --participant <participant:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case enter	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case enter --case <case_ref> --subject <subject_ref> [--consumer model] [--kind model_context] [--shell zsh]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case attach-provider	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case attach-provider --case <case_ref> --subject <subject_ref> --base-url <url> --model <model> [--provider-id <id>] [--api-key-env <env>] [--shell zsh]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case attach-filesystem	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case attach-filesystem --case <case_ref> --attachment <id> --root <existing-dir> --allow-prefix <relative-dir> --policy-owner <participant> [--require-review] [--policy-id <id>] [--max-bytes <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case attach-process	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case attach-process --case <case_ref> --attachment <id> --pid <test-owned-pid> --policy-owner <participant> [--actions terminate,suspend,resume] [--require-review] [--policy-id <id>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case bind-participant-role	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case bind-participant-role --case <case_ref> --participant <participant> --role <role>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case policy bind	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case policy bind --case <case_ref> --artifact <id> --expected-generation <N> [--reason <reason>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case policy replace	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case policy replace --case <case_ref> --binding <id> --artifact <id> --expected-generation <N> [--reason <reason>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case policy unbind	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case policy unbind --case <case_ref> --binding <id> --expected-generation <N> --reason <reason>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case policy status/rebuild	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case policy status|rebuild --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case run	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case run --case <case_ref> --subject <participant> --attachment <id> --prompt <task> [--max-invocations <N>] [--max-operations <N>] [--max-semantic-units <N>] [--max-estimated-input-units <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case resume	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case resume --case <case_ref> [budget overrides]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case status --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case stop	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case stop --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case cancel	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case cancel --case <case_ref> --reason <reason>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai case close	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai case close --case <case_ref> --reason <reason>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai policy ingest	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai policy ingest <source.json> --tenant <tenant:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai policy inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai policy inspect <artifact-id> | yai policy inspect <source-id> --tenant <tenant:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai policy validate/publish	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai policy validate|publish <artifact-id> [--reason <reason>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai policy retire/revoke	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai policy retire|revoke <artifact-id> --reason <reason>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai policy list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai policy list --tenant <tenant:id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai effect filesystem-write	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai effect filesystem-write --case <case_ref> --subject <provider-participant> --attachment <id> --prompt <text> --base-url <url> --model <model> [--failpoint <name>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai effect process-signal	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai effect process-signal --case <case_ref> --subject <provider-participant> --attachment <id> --prompt <text> --base-url <url> --model <model>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai effect reconcile	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai effect reconcile --case <case_ref> [--effect <effect-id>] [--retry]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai effect inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai effect inspect --case <case_ref> --effect <effect-id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai prompt	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai prompt [--once <text>] [--dry-run] [--language-mode auto|none] [--case <case_ref>] [--subject <subject_ref>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai prompt	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai prompt [--dry-run] [--language-mode auto|none] [--case <case_ref>] [--subject <subject_ref>] < prompt.txt	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai control summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai control summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai review pending	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai review pending --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai review show	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai review show <review_id> --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai review approve/deny/defer	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai review approve|deny|defer <review_id> --case <case_ref> --reason <reason>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai decision inspect	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai decision inspect --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai receipt summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai receipt summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph schema	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph schema	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph runtime-status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph runtime-status	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph materialize	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph materialize --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph relations	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph relations --case <case_ref> [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph runtime-load	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph runtime-load --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph runtime-summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph runtime-summary --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph rebuild	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph rebuild --case <case_ref> --from graph-relations	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph rebuild	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph rebuild --case <case_ref> --from journal --path <journal.jsonl>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph rebuild-report	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph rebuild-report --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph fanout	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph fanout --case <case_ref> --node <ref> [--edge-kind <kind>] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph fanin	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph fanin --case <case_ref> --node <ref> [--edge-kind <kind>] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph neighborhood	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph neighborhood --case <case_ref> --node <ref> [--depth <1|2>] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai graph path	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai graph path --case <case_ref> --from <ref> --to <ref> [--max-depth <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts status	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts schema	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts schema	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts init	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts init	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts extract	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts extract --case <case_ref> --kind receipt|decision|projection|model_behavior|policy_outcome|carrier_outcome|divergence|memory_quality|core|behavior|operational|all	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts summary --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai facts report	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai facts report --case <case_ref> [--section receipts|decisions|projections|policy|carriers|divergence|memory|model] [--format plain]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory summary --journal <path>  # legacy MemoryCandidate compatibility only	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory rebuild	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory rebuild --case <case_ref> [--dry-run]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory clear	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory clear --case <case_ref>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory list	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory list --case <case_ref> [--include-superseded] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory show	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory show <memory_id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory provenance	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory provenance <memory_id>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai memory retrieve	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai memory retrieve --case <case_ref> --participant <participant_id> --purpose conversation|filesystem_write_proposal|effect_consequence|inspection [--resource <attachment>] [--kind <kind>] [--causal-ref <ref>] [--include-superseded] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai reconcile summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai reconcile summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai query summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai query summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai query records	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai query records --journal <path> [--kind <record_kind>] [--case <case_ref>] [--limit <N>]	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai engine summary	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai engine summary --journal <path>	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
yai hot status	baseline ad-hoc aliases	manual match branch	cmd/yai/src/main.rs	yai hot status	command-specific	command-specific	derived from branch	domain-specific	finite except daemon/runtime	command-specific/no uniform JSON	default giant usage	registry-classified	see target-cli-inventory.tsv
