case_id,base_test_id,cluster,prompt,role,ws_state,provider_state,llm_mode,fault_mode,seed,execution_profile,requires_llm,time_budget_ms,determinism_expected,expected_outcome_yai,expected_path_yai,required_evidence_yai,expected_outcome_standalone,expected_path_standalone,required_evidence_standalone,setup_required,expected_events,persistence_expected,notes
YAIQ1-0011,YAIQ-0011,Control Plane,Chiedi a control.sock la lista dei workspace attivi e il loro stato (locked/unlocked). (includi policy_hash e authority_decision).,viewer,corrupt,,on,replay_id,1010,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0012,YAIQ-0012,Control Plane,Chiedi a control.sock la lista dei workspace attivi e il loro stato (locked/unlocked). (riporta anche spec_version e runtime_version).,operator,none,,on,none,1011,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0013,YAIQ-0013,Control Plane,"Prova a inviare un comando senza session token: deve rifiutare e loggare audit. (modalità read-only, nessun side-effect).",admin,active,,on,none,1012,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0014,YAIQ-0014,Control Plane,"Prova a inviare un comando senza session token: deve rifiutare e loggare audit. (se fallisce, includi error_code e trace_id).",admin,corrupt,,off,none,1013,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0015,YAIQ-0015,Control Plane,Prova a inviare un comando senza session token: deve rifiutare e loggare audit. (includi policy_hash e authority_decision).,operator,active,,on,none,1014,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0016,YAIQ-0016,Control Plane,Prova a inviare un comando senza session token: deve rifiutare e loggare audit. (riporta anche spec_version e runtime_version).,expired,corrupt,,on,none,1015,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,DENY_AUTH,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0017,YAIQ-0017,Control Plane,"Richiedi una sessione con authority insufficiente: deve rifiutare con error code coerente. (modalità read-only, nessun side-effect).",viewer,active,,on,none,1016,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0018,YAIQ-0018,Control Plane,"Richiedi una sessione con authority insufficiente: deve rifiutare con error code coerente. (se fallisce, includi error_code e trace_id).",viewer,active,,off,none,1017,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0019,YAIQ-0019,Control Plane,Richiedi una sessione con authority insufficiente: deve rifiutare con error code coerente. (includi policy_hash e authority_decision).,system,corrupt,,off,none,1018,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,OK,L3,audit_event;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0020,YAIQ-0020,Control Plane,Richiedi una sessione con authority insufficiente: deve rifiutare con error code coerente. (riporta anche spec_version e runtime_version).,operator,corrupt,,on,socket_drop,1019,yai_only,False,1200,strong,DEGRADED_READONLY,L3;L2;L1;L2;L3,audit_event;error_code;fault_mode;trace_id,DEGRADED_READONLY,L3,audit_event;fault_mode;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0021,YAIQ-0021,Root Plane,"Connettiti a root.sock e verifica che il root plane sia online: esegui handshake e PING. (modalità read-only, nessun side-effect).",system,locked_self,,off,none,1020,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0022,YAIQ-0022,Root Plane,"Connettiti a root.sock e verifica che il root plane sia online: esegui handshake e PING. (se fallisce, includi error_code e trace_id).",viewer,none,,off,none,1021,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0023,YAIQ-0023,Root Plane,Connettiti a root.sock e verifica che il root plane sia online: esegui handshake e PING. (includi policy_hash e authority_decision).,expired,locked_other,,on,none,1022,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0024,YAIQ-0024,Root Plane,Connettiti a root.sock e verifica che il root plane sia online: esegui handshake e PING. (riporta anche spec_version e runtime_version).,system,closing,,off,none,1023,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0025,YAIQ-0025,Root Plane,"Richiedi a root.sock la versione runtime e la spec_version corrente (yai-specs pin). (modalità read-only, nessun side-effect).",viewer,corrupt,,on,none,1024,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0026,YAIQ-0026,Root Plane,"Richiedi a root.sock la versione runtime e la spec_version corrente (yai-specs pin). (se fallisce, includi error_code e trace_id).",system,active,,off,oversize_payload,1025,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0027,YAIQ-0027,Root Plane,Richiedi a root.sock la versione runtime e la spec_version corrente (yai-specs pin). (includi policy_hash e authority_decision).,expired,locked_self,,off,timeout,1026,yai_only,False,25000,strong,TIMEOUT,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,TIMEOUT,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0028,YAIQ-0028,Root Plane,Richiedi a root.sock la versione runtime e la spec_version corrente (yai-specs pin). (riporta anche spec_version e runtime_version).,admin,corrupt,,off,none,1027,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0029,YAIQ-0029,Root Plane,"Chiedi a root.sock gli ultimi 20 audit events globali (L0/L1/L2/L3 tagging). (modalità read-only, nessun side-effect).",operator,closing,,on,none,1028,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0030,YAIQ-0030,Root Plane,"Chiedi a root.sock gli ultimi 20 audit events globali (L0/L1/L2/L3 tagging). (se fallisce, includi error_code e trace_id).",viewer,locked_self,,off,none,1029,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0031,YAIQ-0031,Root Plane,Chiedi a root.sock gli ultimi 20 audit events globali (L0/L1/L2/L3 tagging). (includi policy_hash e authority_decision).,unauthorized,none,,on,none,1030,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0032,YAIQ-0032,Root Plane,Chiedi a root.sock gli ultimi 20 audit events globali (L0/L1/L2/L3 tagging). (riporta anche spec_version e runtime_version).,unauthorized,active,,on,malformed_frame,1031,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0033,YAIQ-0033,Root Plane,"Prova una richiesta malformata su root.sock: deve rispondere con error e non crashare. (modalità read-only, nessun side-effect).",operator,locked_self,,off,malformed_frame,1032,yai_only,False,1200,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0034,YAIQ-0034,Root Plane,"Prova una richiesta malformata su root.sock: deve rispondere con error e non crashare. (se fallisce, includi error_code e trace_id).",expired,corrupt,,on,none,1033,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0035,YAIQ-0035,Root Plane,Prova una richiesta malformata su root.sock: deve rispondere con error e non crashare. (includi policy_hash e authority_decision).,expired,corrupt,,on,socket_drop,1034,yai_only,False,1200,strong,DEGRADED_READONLY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DEGRADED_READONLY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0036,YAIQ-0036,Root Plane,Prova una richiesta malformata su root.sock: deve rispondere con error e non crashare. (riporta anche spec_version e runtime_version).,system,none,,off,none,1035,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0037,YAIQ-0037,Root Plane,"Chiedi a root.sock di aprire un workspace con nome non valido: deve rifiutare e loggare. (modalità read-only, nessun side-effect).",viewer,closing,,off,none,1036,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0038,YAIQ-0038,Root Plane,"Chiedi a root.sock di aprire un workspace con nome non valido: deve rifiutare e loggare. (se fallisce, includi error_code e trace_id).",expired,corrupt,,off,none,1037,yai_only,False,1200,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0039,YAIQ-0039,Root Plane,Chiedi a root.sock di aprire un workspace con nome non valido: deve rifiutare e loggare. (includi policy_hash e authority_decision).,viewer,locked_self,,off,none,1038,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0040,YAIQ-0040,Root Plane,Chiedi a root.sock di aprire un workspace con nome non valido: deve rifiutare e loggare. (riporta anche spec_version e runtime_version).,system,active,,on,none,1039,yai_only,False,1200,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0041,YAIQ-0041,Kernel Plane,"Controlla stato kernel: alive? last_heartbeat? halt_reason se presente. (modalità read-only, nessun side-effect).",system,locked_other,,off,none,1040,yai_only,False,4000,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0042,YAIQ-0042,Kernel Plane,"Controlla stato kernel: alive? last_heartbeat? halt_reason se presente. (se fallisce, includi error_code e trace_id).",system,locked_self,,on,none,1041,yai_only,False,4000,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0043,YAIQ-0043,Kernel Plane,Controlla stato kernel: alive? last_heartbeat? halt_reason se presente. (includi policy_hash e authority_decision).,expired,none,,off,none,1042,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0044,YAIQ-0044,Kernel Plane,Controlla stato kernel: alive? last_heartbeat? halt_reason se presente. (riporta anche spec_version e runtime_version).,admin,none,,off,none,1043,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0045,YAIQ-0045,Kernel Plane,"Chiedi al kernel la lista degli endpoint attivi nel workspace (kernel control). (modalità read-only, nessun side-effect).",system,active,,off,none,1044,yai_only,False,4000,strong,OK,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0046,YAIQ-0046,Kernel Plane,"Chiedi al kernel la lista degli endpoint attivi nel workspace (kernel control). (se fallisce, includi error_code e trace_id).",operator,none,,off,none,1045,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0047,YAIQ-0047,Kernel Plane,Chiedi al kernel la lista degli endpoint attivi nel workspace (kernel control). (includi policy_hash e authority_decision).,unauthorized,none,,off,none,1046,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0048,YAIQ-0048,Kernel Plane,Chiedi al kernel la lista degli endpoint attivi nel workspace (kernel control). (riporta anche spec_version e runtime_version).,system,locked_other,,on,socket_drop,1047,yai_only,False,4000,strong,DEGRADED_READONLY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DEGRADED_READONLY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0049,YAIQ-0049,Kernel Plane,"Prova ad accedere a risorse fuori workspace: deve kernel_block + audit. (modalità read-only, nessun side-effect).",operator,locked_other,,on,none,1048,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0050,YAIQ-0050,Kernel Plane,"Prova ad accedere a risorse fuori workspace: deve kernel_block + audit. (se fallisce, includi error_code e trace_id).",system,locked_self,,on,none,1049,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0051,YAIQ-0051,Kernel Plane,Prova ad accedere a risorse fuori workspace: deve kernel_block + audit. (includi policy_hash e authority_decision).,admin,active,,off,none,1050,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0052,YAIQ-0052,Kernel Plane,Prova ad accedere a risorse fuori workspace: deve kernel_block + audit. (riporta anche spec_version e runtime_version).,viewer,none,,off,none,1051,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;error_code;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event;error,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0053,YAIQ-0053,Kernel Plane,"Richiedi al kernel il session state corrente e i ruoli associati. (modalità read-only, nessun side-effect).",unauthorized,none,,off,none,1052,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0054,YAIQ-0054,Kernel Plane,"Richiedi al kernel il session state corrente e i ruoli associati. (se fallisce, includi error_code e trace_id).",expired,active,,off,malformed_frame,1053,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0055,YAIQ-0055,Kernel Plane,Richiedi al kernel il session state corrente e i ruoli associati. (includi policy_hash e authority_decision).,unauthorized,active,,off,none,1054,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0056,YAIQ-0056,Kernel Plane,Richiedi al kernel il session state corrente e i ruoli associati. (riporta anche spec_version e runtime_version).,unauthorized,closing,,on,none,1055,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0057,YAIQ-0057,Kernel Plane,"Simula 'kernel_dead' (se supportato dal test harness) e verifica che root/engine reagiscano correttamente. (modalità read-only, nessun side-effect).",expired,locked_self,,on,none,1056,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0058,YAIQ-0058,Kernel Plane,"Simula 'kernel_dead' (se supportato dal test harness) e verifica che root/engine reagiscano correttamente. (se fallisce, includi error_code e trace_id).",expired,corrupt,,on,none,1057,yai_only,False,4000,strong,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0059,YAIQ-0059,Kernel Plane,Simula 'kernel_dead' (se supportato dal test harness) e verifica che root/engine reagiscano correttamente. (includi policy_hash e authority_decision).,viewer,none,,off,none,1058,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;trace_id,NOT_SUPPORTED,L3,audit_event;error_code;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0060,YAIQ-0060,Kernel Plane,Simula 'kernel_dead' (se supportato dal test harness) e verifica che root/engine reagiscano correttamente. (riporta anche spec_version e runtime_version).,operator,closing,,off,malformed_frame,1059,yai_only,False,4000,strong,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DENY_POLICY,L3,audit_event;error_code;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0061,YAIQ-0061,Engine Plane,"Richiedi a engine lo stato del cortex (engine_cortex): counters, queue depth, last tick. (modalità read-only, nessun side-effect).",viewer,active,,on,none,1060,yai_only,False,4000,class,OK,L3;L2;L1;L2;L3,audit_event;trace_id,OK,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0062,YAIQ-0062,Engine Plane,"Richiedi a engine lo stato del cortex (engine_cortex): counters, queue depth, last tick. (se fallisce, includi error_code e trace_id).",unauthorized,corrupt,,off,none,1061,yai_only,False,4000,class,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0063,YAIQ-0063,Engine Plane,"Richiedi a engine lo stato del cortex (engine_cortex): counters, queue depth, last tick. (includi policy_hash e authority_decision).",unauthorized,locked_self,,off,none,1062,yai_only,False,4000,class,DENY_AUTH,L3;L2;L1;L2;L3,audit_event;trace_id,DENY_AUTH,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0064,YAIQ-0064,Engine Plane,"Richiedi a engine lo stato del cortex (engine_cortex): counters, queue depth, last tick. (riporta anche spec_version e runtime_version).",viewer,corrupt,,on,none,1063,yai_only,False,4000,class,OK,L3;L2;L1;L2;L3,audit_event;trace_id,OK,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0065,YAIQ-0065,Engine Plane,"Esegui una 'dry-run' di un'azione ad alto rischio tramite engine: deve essere no side-effect + audit decision. (modalità read-only, nessun side-effect).",operator,corrupt,,off,none,1064,yai_only,False,4000,class,OK,L3;L2;L1;L2;L3,audit_event;trace_id,OK,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0066,YAIQ-0066,Engine Plane,"Esegui una 'dry-run' di un'azione ad alto rischio tramite engine: deve essere no side-effect + audit decision. (se fallisce, includi error_code e trace_id).",admin,closing,,on,socket_drop,1065,yai_only,False,4000,class,DEGRADED_READONLY,L3;L2;L1;L2;L3,audit_event;fault_mode;trace_id,DEGRADED_READONLY,L3,audit_event;fault_mode;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0067,YAIQ-0067,Engine Plane,Esegui una 'dry-run' di un'azione ad alto rischio tramite engine: deve essere no side-effect + audit decision. (includi policy_hash e authority_decision).,viewer,none,,on,none,1066,yai_only,False,4000,class,DENY_POLICY,L3;L2;L1;L2;L3,audit_event;trace_id,OK,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
YAIQ1-0068,YAIQ-0068,Engine Plane,Esegui una 'dry-run' di un'azione ad alto rischio tramite engine: deve essere no side-effect + audit decision. (riporta anche spec_version e runtime_version).,admin,active,,off,none,1067,yai_only,False,4000,class,OK,L3;L2;L1;L2;L3,audit_event;trace_id,OK,L3,audit_event;trace_id,,audit_event,episodic,Requires runtime planes and sockets (control.sock/root.sock).
